date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:52	8740/8740	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/index.html	(from )
14:54:52	123/123	---MC-	200	added ('OK')	text/plain	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/robots.txt		(from )
14:54:55	2130/2130	---MC-	200	added ('OK')	application/javascript	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/assets/js/ie-emulation-modes-warning.js	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/assets/js/ie-emulation-modes-warning.js	(from http://getbootstrap.com/)
14:54:55	22556/22556	---MC-	200	added ('OK')	text/css	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/assets/css/docs.min.css	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/assets/css/docs.min.css	(from http://getbootstrap.com/)
14:54:56	6140/6140	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/apple-touch-icon.png	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/apple-touch-icon.png	(from http://getbootstrap.com/)
14:54:58	178/178	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Mar%202016%2007:54:42%20GMT	http://getbootstrap.com/getting-started	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/getting-started.6.delayed	(from http://getbootstrap.com/)
14:54:59	121260/121260	---MC-	200	added ('OK')	text/css	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/dist/css/bootstrap.min.css	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/dist/css/bootstrap.min.css	(from http://getbootstrap.com/)
14:54:59	5430/5430	---MC-	200	added ('OK')	image/x-icon	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/favicon.ico	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/favicon.ico	(from http://getbootstrap.com/)
14:55:00	64519/64519	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/getting-started/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/getting-started/index.html	(from http://getbootstrap.com/)
14:55:04	14588/14588	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/assets/img/sass-less.png	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/assets/img/sass-less.png	(from http://getbootstrap.com/)
14:55:04	283467/283467	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/css/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/css/index.html	(from http://getbootstrap.com/)
14:55:07	266956/266956	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/components/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/components/index.html	(from http://getbootstrap.com/)
14:55:10	125845/125845	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/customize/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/customize/index.html	(from http://getbootstrap.com/)
14:55:10	187437/187437	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/javascript/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/javascript/index.html	(from http://getbootstrap.com/)
14:55:10	6654/6654	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/assets/img/devices.png	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/assets/img/devices.png	(from http://getbootstrap.com/)
14:55:10	26299/26299	---MC-	200	added ('OK')	text/javascript	date:Tue,%2022%20Mar%202016%2017:57:17%20GMT	http://www.google-analytics.com/analytics.js	C:/xampp/htdocs/mediap/boost/get/www.google-analytics.com/analytics.js	(from http://getbootstrap.com/)
14:55:10	3110/3110	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/assets/img/components.png	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/assets/img/components.png	(from http://getbootstrap.com/)
14:55:32	159273/159273	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/assets/img/expo-lyft.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/assets/img/expo-lyft.jpg	(from http://getbootstrap.com/)
14:55:37	161715/161715	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/assets/img/expo-riot.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/assets/img/expo-riot.jpg	(from http://getbootstrap.com/)
14:55:39	14519/14519	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/about/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/about/index.html	(from http://getbootstrap.com/)
14:55:41	198624/198624	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/assets/img/expo-vogue.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/assets/img/expo-vogue.jpg	(from http://getbootstrap.com/)
14:55:43	201647/201647	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/assets/img/expo-newsweek.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/assets/img/expo-newsweek.jpg	(from http://getbootstrap.com/)
14:55:48	36868/36868	---MC-	200	added ('OK')	application/javascript	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/dist/js/bootstrap.min.js	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/dist/js/bootstrap.min.js	(from http://getbootstrap.com/)
14:55:48	641/641	---MC-	200	added ('OK')	application/javascript	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/assets/js/ie10-viewport-bug-workaround.js	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/assets/js/ie10-viewport-bug-workaround.js	(from http://getbootstrap.com/)
14:55:49	95992/95992	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	C:/xampp/htdocs/mediap/boost/get/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from http://getbootstrap.com/)
14:55:49	3854/3854	---MC-	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Dec%202015%2020:49:31%20GMT	http://secure.gaug.es/track.js	C:/xampp/htdocs/mediap/boost/get/secure.gaug.es/track.js	(from http://getbootstrap.com/)
14:55:50	46533/46533	---MC-	200	added ('OK')	application/javascript	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/assets/js/docs.min.js	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/assets/js/docs.min.js	(from http://getbootstrap.com/)
14:55:53	18028/18028	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff2	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff2	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
14:55:54	95957/95957	---MC-	200	added ('OK')	application/javascript	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/assets/js/vendor/jquery.min.js	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/assets/js/vendor/jquery.min.js	(from http://getbootstrap.com/)
14:55:54	20127/20127	---MC-	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.eot	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.eot	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
14:55:54	20127/20127	---MC-	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.eot?	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/dist/fonts/glyphicons-halflings-regulard41d.eot	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
14:55:58	22571/22571	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/starter-template.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/starter-template.jpg	(from http://getbootstrap.com/getting-started/)
14:55:58	23424/23424	---MC-	200	added ('OK')	application/font-woff	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.woff	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
14:56:00	3227/3227	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/starter-template/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/starter-template/index.html	(from http://getbootstrap.com/getting-started/)
14:56:01	26512/26512	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/theme/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/theme/index.html	(from http://getbootstrap.com/getting-started/)
14:56:02	108738/108738	---MC-	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.svg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.svg	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
