date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:13	49100/49100	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202016%2007:58:59%20GMT	https://www.facebook.com/login.php	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/login.html	(from )
14:59:14	492/492	---MCZ	200	added ('OK')	text/plain	date:Wed,%2023%20Mar%202016%2007:58:59%20GMT	https://www.facebook.com/robots.txt		(from )
14:59:14	47793/47793	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202016%2007:58:59%20GMT	https://www.facebook.com/login.php?_fb_noscript=1	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/login4964.html	(from https://www.facebook.com/login.php)
14:59:14	1041/1041	---M-Z	200	added ('OK')	application/xml	date:Wed,%2023%20Mar%202016%2007:58:59%20GMT	https://www.facebook.com/osd.xml	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/osd.xml	(from https://www.facebook.com/login.php)
14:59:15	11549/11549	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v2/yO/r/bekMD-lCbkm.css	C:/xampp/htdocs/mediap/lojin/login/static.xx.fbcdn.net/rsrc.php/v2/yO/r/bekMD-lCbkm.css	(from https://www.facebook.com/login.php)
14:59:15	47992/47992	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202016%2007:59:00%20GMT	https://www.facebook.com/login/	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/login/index.html	(from https://www.facebook.com/login.php)
14:59:15	4496/4496	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v2/yf/r/EoIlrSoklOH.css	C:/xampp/htdocs/mediap/lojin/login/static.xx.fbcdn.net/rsrc.php/v2/yf/r/EoIlrSoklOH.css	(from https://www.facebook.com/login.php)
14:59:15	48850/48850	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v2/yW/r/sEpAygasRyW.css	C:/xampp/htdocs/mediap/lojin/login/static.xx.fbcdn.net/rsrc.php/v2/yW/r/sEpAygasRyW.css	(from https://www.facebook.com/login.php)
14:59:15	15332/15332	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v2/yY/r/9vnKgqabsHi.css	C:/xampp/htdocs/mediap/lojin/login/static.xx.fbcdn.net/rsrc.php/v2/yY/r/9vnKgqabsHi.css	(from https://www.facebook.com/login.php)
14:59:16	72263/72263	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v2/y_/r/3ODC7VRUscl.css	C:/xampp/htdocs/mediap/lojin/login/static.xx.fbcdn.net/rsrc.php/v2/y_/r/3ODC7VRUscl.css	(from https://www.facebook.com/login.php)
14:59:16	122902/122902	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v2/y3/r/6bIl72b-rkY.js	C:/xampp/htdocs/mediap/lojin/login/static.xx.fbcdn.net/rsrc.php/v2/y3/r/6bIl72b-rkY.js	(from https://www.facebook.com/login.php)
14:59:16	68168/68168	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202016%2007:59:01%20GMT	https://www.facebook.com/r.php?locale=id_ID	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/r3343.html	(from https://www.facebook.com/login.php)
14:59:17	70734/70734	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202016%2007:59:01%20GMT	https://www.facebook.com/	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/index.html	(from https://www.facebook.com/login.php)
14:59:17	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2023%20Mar%202016%2007:59:02%20GMT	https://www.facebook.com/recover/initiate?lwv=100	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/recover/initiate.ae84f.delayed	(from https://www.facebook.com/login.php)
14:59:17	45965/45965	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202016%2007:59:02%20GMT	https://www.facebook.com/login/identify?ctx=recover&lwv=100	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/login/identifybd1e.html	(from https://www.facebook.com/login.php)
14:59:17	68983/68983	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202016%2007:59:03%20GMT	https://www.facebook.com/r.php?next&locale=id_ID&display=page	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/r918c.html	(from https://www.facebook.com/login.php)
14:59:18	108639/108639	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202016%2007:59:03%20GMT	https://www.facebook.com/r.php	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/r.html	(from https://www.facebook.com/login.php)
14:59:19	45478/45478	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202016%2007:59:04%20GMT	https://www.facebook.com/lite/	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/lite/index.html	(from https://www.facebook.com/login.php)
14:59:19	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2023%20Mar%202016%2007:59:03%20GMT	https://www.facebook.com/find-friends?ref=pf	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/find-friends30c2	(from https://www.facebook.com/login.php)
14:59:19	58219/58219	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202016%2007:59:04%20GMT	https://www.facebook.com/mobile/?ref=pf	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/mobile/index30c2.html	(from https://www.facebook.com/login.php)
14:59:19	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2023%20Mar%202016%2007:59:04%20GMT	https://www.facebook.com/friends/requests/?fcref=ffi	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/friends/requests/index1184.html	(from https://www.facebook.com/login.php)
14:59:19	66940/66940	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202016%2007:59:05%20GMT	https://www.facebook.com/directory/people/	C:/xampp/htdocs/mediap/lojin/login/www.facebook.com/directory/people/index.html	(from https://www.facebook.com/login.php)
